x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,outcome
1.38,1.13,0.12,0.119,2.9,0.25,0.12,0.0,507,0.88,0.0,0.5,1
1.53,0.0,0.0,0.0,1.53,0.51,0.0,0.0,146,0.51,0.542,0.0,1
0.75,0.15,0.0,0.118,1.55,0.0,0.0,0.05,588,0.1,0.054000000000000006,0.0,1
0.75,0.15,0.0,0.118,1.55,0.0,0.0,0.05,583,0.1,0.054000000000000006,0.0,1
5.12,0.0,2.56,0.0,2.56,0.0,5.12,0.0,308,1.28,0.542,1.28,1
1.67,0.0,1.11,0.331,3.91,0.55,2.79,0.0,195,2.23,1.158,0.0,1
0.75,0.15,0.0,0.118,1.55,0.0,0.0,0.05,588,0.1,0.054000000000000006,0.0,1
0.75,0.15,0.0,0.118,1.55,0.0,0.0,0.05,583,0.1,0.054000000000000006,0.0,1
1.34,0.5,0.0,1.281,3.08,0.23,0.42,0.0,2413,0.15,0.335,0.3,1
0.64,0.0,0.16,0.024,0.16,0.16,0.0,0.0,982,0.32,0.271,0.16,1
0.61,0.61,0.3,0.322,0.3,0.0,0.0,0.0,278,0.92,0.092,0.0,1
3.69,0.0,0.33,0.054000000000000006,2.18,0.0,1.68,0.0,657,0.33,1.194,0.33,1
3.03,0.0,0.0,0.17800000000000002,4.04,0.0,0.0,0.0,164,1.51,0.08900000000000001,0.5,1
1.19,0.0,0.59,0.0,4.76,0.0,0.0,0.0,170,0.0,0.4270000000000001,0.0,1
2.0,0.0,0.4,0.212,4.0,0.0,1.6,0.0,114,1.6,0.706,0.0,1
2.48,0.82,0.0,0.149,7.05,0.41,0.0,0.0,450,0.0,0.97,0.0,1
1.52,0.38,0.38,0.179,3.04,0.38,0.76,0.0,285,0.76,0.598,0.0,1
2.0,0.0,0.4,0.0,4.0,0.4,0.0,0.0,95,0.4,0.121,0.4,1
1.12,0.0,0.0,0.0,2.25,0.56,0.0,0.0,144,0.56,0.606,0.0,1
0.47,0.64,0.16,0.174,1.6,0.0,0.16,0.0,174,1.44,0.299,0.0,1
0.0,2.53,0.0,0.431,0.0,0.0,0.0,0.0,76,0.0,0.215,0.0,1
0.78,0.19,0.0,0.16,0.59,0.98,0.19,0.0,730,0.19,0.16,0.39,1
0.78,0.19,0.0,0.16,0.59,0.98,0.19,0.0,730,0.19,0.16,0.39,1
0.33,1.66,0.0,0.541,2.33,0.66,0.66,0.0,304,0.66,0.12,0.0,1
1.49,0.0,0.0,0.0,0.0,2.98,0.0,1.49,11,1.49,0.0,0.0,1
0.82,0.0,0.0,0.0,1.65,0.82,0.0,0.0,69,1.65,0.0,0.0,1
0.33,1.66,0.0,0.541,2.33,0.66,0.66,0.0,304,0.66,0.12,0.0,1
0.0,0.0,1.58,0.279,1.58,0.0,0.0,0.0,36,0.0,0.5579999999999999,0.0,1
1.34,0.5,0.0,1.281,3.08,0.23,0.42,0.0,2413,0.15,0.335,0.3,1
0.0,0.0,1.58,0.279,1.58,0.0,0.0,0.0,36,0.0,0.5579999999999999,0.0,1
1.38,0.0,0.0,0.0,4.16,2.77,0.0,0.0,13,0.0,0.715,0.0,1
0.0,2.53,0.0,0.431,0.0,0.0,0.0,0.0,77,0.0,0.215,0.0,1
0.33,1.66,0.0,0.541,2.33,0.66,0.66,0.0,304,0.66,0.12,0.0,1
0.43,0.0,0.14,0.023,0.58,0.14,0.0,0.0,1001,0.29,0.865,0.29,1
1.09,0.0,0.0,0.126,0.72,0.0,0.0,0.0,123,0.0,0.063,0.0,1
2.44,0.0,0.0,0.121,2.17,0.81,1.63,0.0,131,0.81,0.565,0.27,1
1.17,0.0,0.0,0.0,3.13,0.0,1.17,0.0,114,0.0,0.261,0.0,1
1.69,0.0,1.12,0.33,3.95,0.56,2.82,0.0,190,2.25,1.32,0.0,1
1.35,0.0,0.0,0.0,4.05,0.0,0.67,0.0,33,2.7,0.2,0.0,1
0.62,0.0,0.0,0.0,1.24,0.62,0.0,0.0,120,0.62,1.055,0.0,1
0.67,0.0,0.0,0.0,2.02,0.33,0.0,0.0,203,0.33,0.484,0.0,1
2.38,0.0,0.0,0.0,4.76,4.76,0.0,0.0,38,0.0,0.0,0.0,1
3.94,0.0,1.31,0.117,1.31,0.0,1.31,0.0,291,1.31,0.117,0.0,1
0.9,0.0,0.45,0.0,1.81,0.45,0.45,0.0,117,1.36,0.135,0.0,1
0.85,0.0,0.0,0.0,0.85,0.0,1.7,0.0,200,0.85,1.088,0.0,1
0.27,0.0,0.0,0.185,0.27,0.0,0.0,0.0,607,0.27,0.0,0.0,1
0.43,0.0,0.0,0.146,0.21,0.43,0.0,0.21,642,0.43,0.146,0.0,1
2.31,1.38,0.0,0.816,2.77,0.0,0.46,0.0,102,0.0,0.081,0.0,1
1.31,0.0,0.0,0.0,3.66,0.87,0.29,0.0,437,0.29,0.265,0.29,1
1.03,0.0,0.34,0.0,1.03,0.68,0.0,0.0,119,0.0,0.0,0.0,1
2.31,1.38,0.0,0.816,2.77,0.0,0.46,0.0,102,0.0,0.081,0.0,1
1.86,0.0,0.62,0.0,5.59,0.0,1.24,0.0,111,0.0,0.517,0.0,1
0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,108,2.1,0.0,0.0,1
1.06,0.0,0.0,0.0,1.77,0.35,0.0,0.0,260,0.35,0.7,0.0,1
0.76,0.0,0.15,0.024,0.15,0.15,0.0,0.0,944,0.3,0.5670000000000001,0.15,1
1.15,0.0,0.57,0.0,4.62,0.0,0.0,0.0,172,0.0,0.518,0.0,1
1.05,0.0,0.26,0.0,1.32,0.79,0.0,0.0,566,0.26,0.31,0.26,1
3.17,0.34,0.08,0.013,1.2,0.0,0.17,0.0,574,0.42,0.095,0.0,1
1.5,0.0,0.0,0.0,2.5,0.5,0.0,0.0,172,0.5,0.892,0.0,1
0.54,0.0,0.0,0.0,1.64,0.54,0.0,0.0,130,0.54,1.443,0.0,1
0.78,0.78,0.0,0.0,3.12,0.0,0.78,0.0,49,0.0,0.889,0.78,1
1.02,1.02,0.0,0.0,4.08,0.0,0.0,0.0,85,0.0,0.968,1.02,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,1
1.79,0.0,0.0,0.145,4.03,0.44,0.0,0.0,152,0.89,0.944,0.0,1
1.32,0.0,0.0,0.0,2.64,0.33,0.0,0.0,326,0.33,0.583,0.0,1
1.02,1.02,0.0,0.0,4.08,0.0,0.0,0.0,85,0.0,0.969,1.02,1
0.77,0.34,0.08,0.258,3.01,0.08,0.0,0.0,694,0.08,0.258,0.34,1
0.78,0.34,0.08,0.259,3.03,0.08,0.0,0.0,537,0.08,0.259,0.34,1
0.87,0.0,0.0,0.0,0.87,0.0,1.74,0.0,179,0.87,0.835,0.0,1
1.78,0.0,0.0,0.14400000000000002,4.46,0.44,0.0,0.0,153,0.89,1.083,0.0,1
0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,68,0.0,0.118,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,1.754,0.0,1
0.53,0.23,0.0,0.14,1.19,0.05,0.0,0.0,303,0.11,0.032,0.0,1
0.0,0.0,3.12,0.0,6.25,3.12,0.0,0.0,66,6.25,0.0,0.0,1
1.59,0.53,0.0,0.18600000000000005,6.91,1.59,0.53,0.0,240,0.53,0.28,0.0,1
1.4,0.0,0.93,0.0,1.87,0.46,0.46,0.0,96,1.4,0.135,0.0,1
2.82,0.56,1.12,0.0,2.25,2.25,0.0,0.0,51,0.56,0.0,0.56,1
5.29,0.0,0.0,0.069,5.29,0.0,0.66,0.0,164,0.66,0.83,0.0,1
2.41,0.0,0.0,0.0,0.8,1.61,0.0,0.0,101,0.8,1.192,0.0,1
0.58,0.0,0.14,0.046,0.43,0.14,0.0,0.0,979,0.29,0.585,0.14,1
3.17,0.34,0.08,0.013,1.2,0.0,0.17,0.0,574,0.42,0.095,0.0,1
0.81,0.0,0.0,0.147,1.63,0.0,0.0,0.0,63,0.0,0.294,0.0,1
1.08,1.62,1.08,0.252,4.32,0.54,0.54,0.0,181,0.54,1.18,0.0,1
3.17,0.34,0.08,0.013,1.2,0.0,0.17,0.0,574,0.42,0.108,0.0,1
1.07,1.61,1.07,0.253,4.3,0.53,0.53,0.0,180,0.53,1.183,0.0,1
1.03,0.0,0.51,0.0,1.03,2.07,0.0,0.0,91,0.0,0.067,0.0,1
1.64,0.0,1.09,0.321,3.84,0.54,3.29,0.0,212,2.19,1.045,0.0,1
1.15,0.38,0.0,0.184,2.7,0.38,0.77,0.0,255,1.15,0.985,0.0,1
1.17,0.39,0.0,0.18600000000000005,2.73,0.39,0.78,0.0,256,1.17,0.8690000000000001,0.0,1
4.76,0.0,0.86,0.0,1.29,0.0,0.86,0.0,144,0.43,0.915,0.0,1
0.68,1.6,0.0,0.112,1.83,0.0,0.91,0.0,363,0.68,0.187,0.22,1
1.12,0.0,0.0,0.0,2.25,0.56,0.0,0.0,137,0.56,0.615,0.0,1
0.55,0.0,0.0,0.0,1.67,0.55,0.0,0.0,121,0.55,0.893,0.0,1
4.6,0.0,0.0,0.068,5.26,0.0,0.0,0.0,165,0.65,0.816,0.0,1
1.23,0.0,0.61,0.0,2.46,0.0,1.23,0.0,81,0.0,0.353,0.0,1
3.33,0.44,0.44,0.15,3.33,0.44,0.0,0.0,1733,1.77,0.563,0.0,1
0.94,0.34,0.08,0.223,3.0,0.08,0.0,0.0,537,0.08,0.287,0.34,1
2.08,0.0,1.04,0.0,2.08,2.08,0.0,0.0,61,0.0,0.0,0.0,1
5.33,0.0,1.33,1.4169999999999998,1.33,0.0,0.0,0.0,233,0.0,0.202,0.0,1
1.08,1.62,1.08,0.253,4.32,0.54,0.54,0.0,180,0.54,1.182,0.0,1
0.62,0.0,0.0,0.0,3.12,0.0,1.25,0.0,57,2.5,0.08,0.0,1
2.72,0.0,0.0,0.165,3.63,0.9,0.0,0.0,94,0.0,0.165,0.0,1
0.02,0.37,0.0,0.022,0.05,0.05,0.22,0.0,965,0.25,0.0,0.0,1
0.02,0.37,0.0,0.022,0.05,0.05,0.22,0.0,965,0.25,0.0,0.0,1
1.16,0.89,0.53,0.185,2.5,0.62,0.08,0.0,1329,0.35,0.212,0.26,1
0.48,0.96,0.0,0.267,1.44,0.96,0.96,0.0,242,0.96,0.468,0.0,1
2.31,1.38,0.0,0.816,2.77,0.0,0.46,0.0,102,0.0,0.081,0.0,1
1.37,0.34,0.68,0.061,5.86,0.68,0.0,0.0,91,1.03,0.366,0.0,1
0.72,0.0,0.0,0.063,2.7,0.72,0.0,0.0,841,0.18,0.633,0.36,1
1.57,0.13,0.39,0.021,2.61,1.57,0.0,0.0,476,0.39,0.779,0.0,1
3.25,0.0,0.32,0.157,2.28,0.32,0.32,0.0,143,0.65,0.0,0.0,1
3.24,0.0,0.32,0.159,2.27,0.32,0.32,0.0,143,0.64,0.0,0.0,1
3.14,0.0,0.0,0.032,4.52,0.59,0.39,0.0,305,0.19,0.258,0.0,1
0.69,1.61,0.0,0.112,1.84,0.0,0.92,0.0,354,0.69,0.188,0.23,1
0.71,0.0,0.0,0.0,1.42,0.71,0.0,0.0,95,0.71,1.094,0.0,1
2.98,0.0,2.98,0.171,0.0,1.49,2.98,0.0,156,0.0,0.0,0.0,1
0.0,0.0,0.16,0.752,0.66,0.5,0.0,0.33,1087,0.33,0.884,0.16,1
1.1,0.0,0.0,0.0,2.2,0.55,0.0,0.0,145,0.55,0.6829999999999999,0.0,1
0.98,0.0,0.16,0.08,0.32,0.16,0.0,0.0,955,0.32,0.773,0.16,1
0.36,0.0,0.0,0.0,0.72,0.0,0.72,0.0,88,1.81,0.0,0.0,1
2.54,0.0,1.69,0.278,0.84,10.16,0.84,0.0,519,0.0,1.113,0.0,1
0.64,0.0,0.0,0.0,1.29,0.0,0.0,0.0,32,0.0,0.0,0.0,1
0.64,0.0,0.0,0.0,1.29,0.0,0.0,0.0,32,0.0,0.0,0.0,1
3.14,0.34,0.08,0.013,1.2,0.0,0.17,0.0,1140,0.43,0.08800000000000001,0.0,1
1.09,0.0,2.18,0.0,3.27,0.0,0.0,0.0,377,1.09,0.471,0.0,1
0.85,0.0,0.0,0.08199999999999999,4.7,0.85,0.0,0.0,294,0.0,0.0,0.0,1
2.1,0.0,0.0,0.0,0.0,1.05,0.0,0.0,75,0.0,1.806,0.0,1
1.12,0.22,0.0,0.193,1.35,0.22,0.0,0.0,617,0.22,0.129,0.22,1
1.11,0.0,2.23,0.0,3.35,0.0,0.0,0.0,385,1.11,0.479,0.0,1
0.0,1.12,0.0,0.0,4.49,0.0,0.0,0.0,39,0.0,0.8140000000000001,1.12,1
3.26,0.0,0.32,0.158,2.28,0.32,0.32,0.0,139,0.65,0.0,0.0,1
3.59,0.0,0.0,0.0,1.43,0.0,2.87,0.0,214,0.71,0.937,0.0,1
1.11,0.0,2.23,0.0,3.35,0.0,0.0,0.0,385,1.11,0.479,0.0,1
2.15,0.0,1.07,0.4370000000000001,0.0,2.15,0.0,0.0,62,0.0,0.145,0.0,1
0.47,0.95,0.0,0.263,1.42,0.95,0.95,0.0,255,0.95,0.461,0.0,1
0.0,0.0,0.15,0.7070000000000001,0.79,1.11,0.0,0.95,1128,0.31,0.862,0.15,1
0.39,0.0,0.0,0.0,0.39,0.0,0.0,3.58,130,0.0,0.0,0.0,1
1.53,0.0,0.0,0.8290000000000001,2.3,0.0,0.0,0.0,157,0.0,2.766,0.0,1
0.73,0.08,0.08,0.097,3.5,0.48,0.08,0.0,1561,1.38,0.39,0.0,1
1.04,0.06,0.0,0.305,2.37,1.11,0.69,0.0,966,0.27,0.75,0.41,1
0.97,0.06,0.0,0.305,2.23,1.11,0.69,0.0,966,0.27,0.75,0.41,1
0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,54,0.0,2.4530000000000003,0.0,1
3.57,0.0,0.0,0.0,1.42,0.0,2.85,0.0,217,0.71,0.931,0.0,1
2.4,0.8,0.0,0.34700000000000003,1.6,0.8,0.8,0.0,125,1.6,1.62,0.0,1
3.3,0.0,0.33,0.162,1.98,0.33,0.33,0.0,202,0.99,0.0,0.0,1
1.85,0.0,0.07,0.159,3.55,0.0,0.14,0.0,802,0.51,0.159,0.07,1
3.3,0.0,0.33,0.161,1.98,0.33,0.33,0.0,202,0.99,0.0,0.0,1
0.0,0.0,0.15,0.7070000000000001,0.79,1.11,0.0,0.95,1128,0.31,0.862,0.15,1
0.93,0.31,0.0,0.0,2.48,0.31,0.0,0.0,155,1.24,0.043,0.0,1
0.86,0.0,0.17,0.083,0.17,0.17,0.0,0.0,963,0.34,0.665,0.17,1
1.58,0.0,0.0,0.135,3.17,0.79,0.79,0.0,114,0.0,0.271,0.0,1
0.88,0.0,0.0,0.127,2.35,0.14,0.0,0.0,400,0.0,0.204,0.14,1
3.33,0.0,0.0,0.0,2.22,0.0,0.0,0.0,91,1.11,0.784,0.0,1
1.5,0.0,0.0,0.203,2.5,0.25,0.5,0.0,129,0.0,0.203,0.0,1
2.92,0.0,1.16,0.09,2.92,0.58,0.0,0.0,75,2.33,0.09,0.58,1
0.88,0.0,0.0,0.127,2.35,0.14,0.0,0.0,400,0.0,0.204,0.14,1
0.88,0.0,0.0,0.127,2.35,0.14,0.0,0.0,400,0.0,0.204,0.14,1
0.0,0.0,0.58,0.0,1.76,0.58,0.0,0.0,86,1.17,0.8290000000000001,0.0,1
1.01,0.0,0.0,0.124,3.29,0.0,0.5,0.0,210,0.75,0.041,0.0,1
0.0,0.0,3.12,0.0,6.25,0.0,0.0,0.0,66,6.25,0.0,0.0,1
1.14,0.0,2.28,0.0,3.42,0.0,0.0,0.0,373,1.14,0.487,0.0,1
0.7,0.35,0.17,0.057,0.88,0.0,0.17,0.0,417,0.0,0.085,0.35,1
0.47,0.95,0.0,0.267,1.42,0.95,0.95,0.0,256,0.95,0.401,0.0,1
1.14,0.0,2.28,0.0,3.42,0.0,0.0,0.0,373,1.14,0.487,0.0,1
0.51,0.0,0.17,0.0,0.34,0.17,0.0,0.0,942,0.34,0.315,0.17,1
1.14,0.0,2.28,0.0,3.42,0.0,0.0,0.0,373,1.14,0.487,0.0,1
1.63,0.0,3.27,0.18,0.0,1.63,1.63,0.0,163,0.0,0.54,0.0,1
0.0,0.0,0.14,0.784,0.58,0.87,0.0,0.0,1200,0.29,0.764,0.29,1
0.95,0.0,0.19,0.03,0.19,0.19,0.0,0.0,869,0.38,0.632,0.19,1
2.62,0.2,0.2,0.129,2.21,0.4,1.61,0.0,513,0.2,1.453,0.2,1
